Index,Author,Title,Publication,Volume,Issue,Year,Pages,Multiple_Tools,DOI,File_Type,Tool_Name,Tool_Type,Organization/Group,University/Institute,Distribution_Method,Article_Purpose,File_Name,Text_File,File_Path,Notes,Problematic,
139,"Morris, John",A Computer-Assisted Study of a Philosophical Text,Computers and the Humanities,3,3,1969,175-178,-,n/a,pdf,n/a,n/a,n/a,Michegan State University,journal,Describe computer-assisted research,CHUM v3 n3 p175-178.pdf,CHUM-v3-n3-p175-178.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Morris describes his computer-assisted study of Descartes' major works.,-,
140,"Boyd-Bowman, Peter",The Linguistic Analysis of Spanish Colonial Documents,Computers and the Humanities,3,3,1969,179-180,-,n/a,pdf,n/a,n/a,n/a,"University of New York, Buffalo",journal,Describe computer-assisted research,CHUM v3 n3 p179-180.pdf,CHUM-v3-n3-p179-180.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a projects applying linguistics analysis to Spanish colonial documents.,-,
141,"Donow, Herbert S.",Concordance and Stylistic Analysis of Six Elizabethan Sonnet Sequences,Computers and the Humanities,3,4,1969,205-208,-,n/a,pdf,n/a,n/a,n/a,Southern Illinois University,journal,Describe computer-assisted research,CHUM v3 n4 p205-208.pdf,CHUM-v3-n4-p205-208.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a project concording and applying stylistic analysis to Elizabethan sonnets. ,-,
142,"Mesthene, Emmanuel G.",Technology and Humanistic Values,Computers and the Humanities,4,1,1969,1-10,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v4 n1 p1-10.pdf,CHUM-v4-n1-p1-10.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This is a meta article discussing the relationship between technology and the humanities. ,*,
143,"Zemsky, Robert M.",Numbers and History: The Dilemma of Measurement,Computers and the Humanities,4,1,1969,31-40,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v4 n1 p31-40.pdf,CHUM-v4-n1-p31-40.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,A meta article on the problem of measuring when conducting computer-assisted analysis.,*,
144,"Dyer, Robert R.",The New Philology: An Old Discipline or a New Science?,Computers and the Humanities,4,1,1969,53-64,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v4 n1 p53-64.pdf,CHUM-v4-n1-p53-64.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"A meta article arguing for an increased usage of computers in humanities research, recommending areas of focus.",*,
145,"Thomson, Norman D. ",A Computer Experiment on the Chronology of Xenophon,Computers and the Humanities,4,2,1969,109-113,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v4 n2 p109-113.pdf,CHUM-v4-n2-p109-113.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a project analyzing ancient Greek works for chronology.,-,
146,"Alinei, Mario L. ",The Study of Old Italian at Utrecht: A Progress Report,Computers and the Humanities,4,2,1969,115-119,-,n/a,pdf,n/a,n/a,n/a,University of Utrecht,journal,Describe computer-assisted research,CHUM v4 n2 p115-119.pdf,CHUM-v4-n2-p115-119.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes computer-assisted syntactic analysis of Old Italian at Utrecht.,-,
147,"Morgan, Richard S.",Computers and the Humanities in Britain,Computers and the Humanities,4,2,1969,121-124,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v4 n2 p121-124.pdf,CHUM-v4-n2-p121-124.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,An overview of computer-assisted research in Britain,-,
148,"Hines, Theodore C.; Harris, Jessica L.; Levy, Charlotte L.",An Experimental Concordance Program,Computers and the Humanities,4,3,1970,161-171,-,n/a,pdf,Unnamed Experimental Concordance Program,concordance,n/a,Columbia University,journal,Present tool and development,CHUM v4 n3 p161-171.pdf,CHUM-v4-n3-p161-171.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a concordance program developed at the Columbia University School of Library Service,-,
149,"Ducretet, Pierre R.",Quantitative Stylistics: An Essay in Methodology,Computers and the Humanities,4,3,1970,187-191,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v4 n3 p187-191.pdf,CHUM-v4-n3-p187-191.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"This paper describes the methodology involved in text analysis, including lemmatization and word clustering.",-,
150,"Laffal, Julius",Toward a Conceptual Grammar and Lexicon,Computers and the Humanities,4,3,1970,173-186,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v4 n3 p173-186.pdf,CHUM-v4-n3-p173-186.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This paper descibes a conceptual lexicon.,-,
151,"Rubin, Gerald M.",Computer-Produced Mapping of Dialectical Variation,Computers and the Humanities,4,4,1970,241-246,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v4 n4 p241-246.pdf,CHUM-v4-n4-p241-246.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This paper describes a computer-assisted analysis of dialectic variations in England.,-,
152,"Koster, Patricia",Words and Numbers: A Quantitative Approach to Swift and Some Understrappers,Computers and the Humanities,4,5,1970,289-304,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v4 n5 p289-304.pdf,CHUM-v4-n5-p289-304.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This paper describes a quantitative analysis of Jonathan Swift's works using punched cards.,-,
153,"Milic, Louis T. ",Comment on Mrs. Koster's Article,Computers and the Humanities,4,5,1970,304-306,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v4 n5 p304-306.pdf,CHUM-v4-n5-p304-306.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This is a response to Patricia Koster's paper on the quantitative analysis of Jonathan Swift's works.,-,
154,"Swierenga, Robert P.",Clio and Computers: A Survey of Computerized Research in History,Computers and the Humanities,5,1,1970,1-21,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v5 n1 p1-21.pdf,CHUM-v5-n1-p1-21.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,A survey of the use of computers in history research.,-,
155,"Waite, Stephen V.F.",Computers and the Classics,Computers and the Humanities,5,1,1970,47-51,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v5 n1 p47-51.pdf,CHUM-v5-n1-p47-51.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,An update on the application of computers in the field of Classics for the year of 1969-1970.,-,
156,"De Kock, Josse",A Preliminary Survey on the Use of Computers in Linguistic Research,Computers and the Humanities,5,1,1970,53-61,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v5 n1 p53-61.pdf,CHUM-v5-n1-p53-61.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"An overview of how computers have been used in linguistic research, including the results of a survey looking at computerized linguisitics in a number of countries.",-,
157,"Radday, Yehuda T.",Isaiah and the Computer: A Preliminary Report,Computers and the Humanities,5,2,1970,65-73,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v5 n2 p65-73.pdf,CHUM-v5-n2-p65-73.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article is reporting on a project conducting computerized analysis on the authenticity of the Book of Isaiah.,-,
158,"Schoenbaum, S.",Reviews: Shakespeare Individually Concorded,Computers and the Humanities,5,2,1970,82-83,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Review,CHUM v5 n2 p82-83.pdf,CHUM-v5-n2-p82-83.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article reviews a digital edition of a concordance of Shakespeare's comedies.,-,
159,"Borden, George A.; Watts, James J.",A Computerized Language Analysis System,Computers and the Humanities,5,3,1971,129-141,-,n/a,pdf,CLAS (Computerized Language Analysis System),"concordance, indexing",n/a,Pennsylvania State University ,journal,Present tool and development,CHUM v5 n3 p129-141.pdf,CHUM-v5-n3-p129-141.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article describes the development and applications of the CLAS concordance tool.,-,
160,"Mullen, Karen A.",Using the Computer to Identify Differences Among Text Variants,Computers and the Humanities,5,4,1971,193-201,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v5 n4 p193-201.pdf,CHUM-v5-n4-p193-201.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Describes research into differences between Old and Middle English manuscripts, looking for word order, lexical choice and lacunae.",-,
161,"Zettersten, Arne",Current Scandinavian Computer-Assisted Language Research,Computers and the Humanities,5,4,1971,203-208,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v5 n4 p203-208.pdf,CHUM-v5-n4-p203-208.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"This article describes computer-assisted research in Scandanavia, including updates on ongoing projects.",-,
162,"Cluett, Robert","Style, Precept, Personality: A Test Case",Computers and the Humanities,5,5,1971,257-277,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v5 n5 p257-277.pdf,CHUM-v5-n5-p257-277.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article describes computerized stylistic analysis of the works of Thomas Sprat.,-,
163,"Widmann, R.L.",Computers and Literary Scholarship,Computers and the Humanities,6,1,1971,3-14,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v6 n1 p3-14.pdf,CHUM-v6-n1-p3-14.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article discusses the ways in which computers have been applied to literary scholarship.,-,
164,"Putnam, George F.","Soviet Historians, Quantitative Methods, and Digital Computers",Computers and the Humanities,6,1,1971,23-29,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v6 n1 p23-29.pdf,CHUM-v6-n1-p23-29.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article discusses computer-assisted research by Soviet historians. ,-,
165,"Waite, Stephen V.F.",Computers and Classical Literature: 1970-1971,Computers and the Humanities,6,1,1971,31-34,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v6 n1 p31-34.pdf,CHUM-v6-n1-p31-34.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article describes applications of computer-assisted research to classical literature.,-,
166,"Schneider, Ben R.",The Production of Machine-Readable Text: Some of the Variables,Computers and the Humanities,6,1,1971,39-47,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v6 n1 p39-47.pdf,CHUM-v6-n1-p39-47.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article describes the challenges of creating a digital text suitable for analysis.,-,
167,"Green, Donald C.",Formulas and Syntax in Old English Poetry: A Computer Study,Computers and the Humanities,6,2,1971,85-93,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v6 n2 p85-93.pdf,CHUM-v6-n2-p85-93.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This describes a study of Old English poetry to tease out syntax and formulaic constructions.,-,
168,"Harris, Jessica L.; Hines, Theodore C.; Scott, Ralph L.",A Computer-Based Census and Local Handlist System for Incunabula,Computers and the Humanities,6,2,1971,95-102,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v6 n2 p95-102.pdf,CHUM-v6-n2-p95-102.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes efforts to catalogue incunabula with an indexing system.,*,
169,"Mey, Jacob L.",Computational Linguistics and the Study of Linguistic Performance,Computers and the Humanities,6,3,1972,131-136,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v6 n3 p131-136.pdf,CHUM-v6-n3-p131-136.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Discusses competence and performance in computational linguistics.,-,
170,"Smith, Raoul N.",Interactive Lexicon Updating,Computers and the Humanities,6,3,1972,137-145,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v6 n3 p137-145.pdf,CHUM-v6-n3-p137-145.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Discusses a specific problem in computational linguistics.,-,
171,"de Tollenaere, F.",Encoding Techniques in Dutch Historical Lexicography,Computers and the Humanities,6,3,1972,147-152,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v6 n3 p147-152.pdf,CHUM-v6-n3-p147-152.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Details encoding techniques and challenges for Dutch lexicography.,-,
172,"Hellberg, Staffan",Computerized Lemmatization without the Use of a Dictionary: A Case Study from Swedish Lexicology,Computers and the Humanities,6,4,1972,209-212,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v6 n4 p209-212.pdf,CHUM-v6-n4-p209-212.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,A case study illustrating a process for lemmatization that does not rely on a preset dictionary.,-,
173,"Widmann, R.L.",Recent Scholarship in Literary and Linguistic Studies,Computers and the Humanities,7,1,1972,3-27,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n1 p3-27.pdf,CHUM-v7-n1-p3-27.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,A literature review of computer-based research papers in literary and linguistic studies.,-,
174,"Waite, Stephen V.F.",Computers and Classical Literature: 1971-1972,Computers and the Humanities,7,2,1972,99-104,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n2 p99-104.pdf,CHUM-v7-n2-p99-104.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,An update on the application of computers to classical literature.,-,
175,"Sainte-Marie, Paule; Robillard, Pierre; Bratley, Paul",An Applciation of Principal Component Analysis to the Works of Moliere,Computers and the Humanities,7,3,1973,131-137,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n3 p131-137.pdf,CHUM-v7-n3-p131-137.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a project investigating Moliere's vocabulary via PCA.,-,
176,"Gilbert, Penny",Automatic Collation: A Technique for Medieval Texts,Computers and the Humanities,7,3,1973,139-147,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n3 p139-147.pdf,CHUM-v7-n3-p139-147.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a collation method suitable for medieval texts.,-,
177,"Koubourlis, Demetrius J.",Computer Sequencing and Non-Alphabetic Interference in Language Data Processing,Computers and the Humanities,7,3,1973,149-155,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n3 p149-155.pdf,CHUM-v7-n3-p149-155.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes automated sorting issues and solutions.,-,
178,"Allen, John R.",Computational Linguistics in Denmark: A Report on the Third AILA Congress,Computers and the Humanities,7,3,1973,157-161,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n3 p157-161.pdf,CHUM-v7-n3-p157-161.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"A report on the papers presented at the third AILA Congress, including details of the computational research described.",-,
179,"Coetzee, J.M.",Samuel Beckett's Lessness: An Exercise in Decomposition,Computers and the Humanities,7,4,1973,195-198,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n4 p195-198.pdf,CHUM-v7-n4-p195-198.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"This paper describes a computer analysis of Samuel Beckett's Lessness, attempting to tease out the logic of the sentence order of the second half.",-,
180,"Keller, Howard H.",Establishing a German Root System by Computer,Computers and the Humanities,7,4,1973,199-207,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n4 p199-207.pdf,CHUM-v7-n4-p199-207.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This paper describes a method for determining roots for German words.,-,
181,"Spolsky, Bernard; Holm, Wayne; Holliday, Babette; Embry, Jonathan",A Computer-Assisted Study of the Vocabulary of Young Navajo Children,Computers and the Humanities,7,4,1973,209-218,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n4 p209-218.pdf,CHUM-v7-n4-p209-218.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This paper reports on a vocabulary analysis of young Navajo children.,-,
182,"Brainerd, Barron",On the Distinction between a Novel and a Romance: A Discriminant Analysis,Computers and the Humanities,7,5,1973,259-270,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n5 p259-270.pdf,CHUM-v7-n5-p259-270.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This paper uses computerized literary analysis to distinguish characteristics of novels from romances (the poetic/mythic kind) as narrative fiction categories.,-,
183,"Tilly, Charles",Computers in Historical Analysis,Computers and the Humanities,7,6,1973,323-335,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n6 p323-335.pdf,CHUM-v7-n6-p323-335.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Describes the ways computers can be applied to history, including stylometrics.",-,
184,"Burton, Michael L.",Recent Computer Applications in Cultural Anthropology,Computers and the Humanities,7,6,1973,337-341,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n6 p337-341.pdf,CHUM-v7-n6-p337-341.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes how computers have been used in cultural anthropology.,-,
185,"Zampolli, Antonio",Humanities Computing in Italy,Computers and the Humanities,7,6,1973,343-360,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n6 p343-360.pdf,CHUM-v7-n6-p343-360.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,An overview of the history of and current uses of computers in humanties research in Italy.,-,
186,"Frautschi, Richard L.",Recent Quantitative Research in French Studies,Computers and the Humanities,7,6,1973,361-372,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n6 p361-372.pdf,CHUM-v7-n6-p361-372.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Provides an overview of French research projects, including descriptions of their methodologies.",-,
187,"Hanon, Suzanne",The Study of English Loan-Words in Modern French,Computers and the Humanities,7,6,1973,389-398,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v7 n6 p389-398.pdf,CHUM-v7-n6-p389-398.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,A computer-assisted study of English loan words in modern French. ,-,
188,"Dengler, Ralph",A General Inquirer Analysis of Sixteenth Century and Contemporary Catechisms,Computers and the Humanities,8,1,1974,5-20,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n1 p5-20.pdf,CHUM-v8-n1-p5-20.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"A computer-assisted analysis of catechisms, including searching for nouns and verbs fitting particular categories such as social roles, status connotations, moods and behaviours. ",-,
189,"Moyne, J.A.",Sasanian Pahlavi Inscriptions: A Concordance,Computers and the Humanities,8,1,1974,27-39,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n1 p27-39.pdf,CHUM-v8-n1-p27-39.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Describes a project concording Middle Persian heroic literature, and describing its importance to both historic and linguistic studies.",-,
190,"Iker, Howard P.",An Historical Note on the Use of Word-Frequency Contiguities in Content Analysis,Computers and the Humanities,8,2,1974,93-98,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n2 p93-98.pdf,CHUM-v8-n2-p93-98.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,A historic overview of word-use associations. ,-,
191,"Sower, Cora Angier; Sowa, John F. ",Thought Clusters in Early Greek Oral Poetry,Computers and the Humanities,8,3,1974,131-146,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n3 p131-146.pdf,CHUM-v8-n3-p131-146.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,A paper describing a project using word clusters to study early Greek oral poetry such as the Homeric epics.,-,
192,"Peavler, James M.",Analysis of Corpora of Variations,Computers and the Humanities,8,3,1974,153-159,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n3 p153-159.pdf,CHUM-v8-n3-p153-159.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"A paper describing how computers have been applied to studying variations in corpora, and the schools of thought on how to approach it.",-,
193,"Shaw, David",Statistical Analysis fo Dialectical Boundaries,Computers and the Humanities,8,3,1974,173-177,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n3 p173-177.pdf,CHUM-v8-n3-p173-177.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"This article describes a project using computer analysis to determine where, geographically, a dialect's boundaries lie.",-,
194,"Hirschmann, Rudolf; Lenders, Winifried",Computer-assisted Study of Early German: The Mannheim Symposium of 1973,Computers and the Humanities,8,3,1974,179-181,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n3 p179-181.pdf,CHUM-v8-n3-p179-181.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a symposium on the computer-assisted study of Early German.,-,
195,"Mansell, Darrell",The Old Man and the Sea and the Computer,Computers and the Humanities,8,4,1974,195-206,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n4 p195-206.pdf,CHUM-v8-n4-p195-206.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"This article describes a project digitizing and analyzing The Old Man and the Sea, including procedures and results.",-,
196,"Poole, Eric",The Computer in Determining Stemmatic Relationships,Computers and the Humanities,8,4,1974,207-216,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n4 p207-216.pdf,CHUM-v8-n4-p207-216.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,On using computer analysis for stemming.,-,
197,"Helm, Carl E.; McIver, Charlotte",Automated Sentence Analysis for Language Instruction,Computers and the Humanities,8,4,1974,239-245,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n4 p239-245.pdf,CHUM-v8-n4-p239-245.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Describes a method of automated sentence analysis. ,-,
198,"Stallings, William",The Morphology of Chinese Characters: A Survey of Models and Applications,Computers and the Humanities,9,1,1975,13-24,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v9 n1 p13-24.pdf,CHUM-v9-n1-p13-24.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,On a computerized methodology for describing Chinese characters.,-,
199,"Evergates, Theodore",A Quantitative Analysis of Fiefs in Medieval Champagne,Computers and the Humanities,9,2,1975,61-67,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v9 n2 p61-67.pdf,CHUM-v9-n2-p61-67.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"This article describes how computers were used to tease out quantitative data from medieval fief records, reconciling variations in orthography, terminology and types of information recorded",-,
200,"Ratkowsky, D.A.; Hantrais, Linda",Tables for Comparing the Richness and Structure of Vocabulary in Texts of Different Lengths,Computers and the Humanities,9,2,1975,69-75,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v9 n2 p69-75.pdf,CHUM-v9-n2-p69-75.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article contains mathematic calculations and tables used to compare texts. ,*,
201,"Levitt, James H.; LaBarre, Claude E.",Building a Data File from Historical Archives,Computers and the Humanities,9,2,1975,77-82,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v9 n2 p77-82.pdf,CHUM-v9-n2-p77-82.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Details the encoding required to build data files to accompany historical archives.,-,
202,"Henderson, Michael M.T.",Use of an Interactive Program in Analyzing Data for a Dilect Dictionary,Computers and the Humanities,9,2,1975,105-113,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v8 n4 p207-216.pdf,CHUM-v9-n3-p105-113.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Describes a program used to analyze American dialect differences, and to construct a dictionary of them.",-,
203,"Brainerd, Barron",Statistical Analysis of Lexical Data Using Chi-squared and Related Distributions,Computers and the Humanities,9,4,1975,161-178,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v9 n4 p161-178.pdf,CHUM-v9-n4-p161-178.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,A mathematic description of statistical analysis of lexical data.,*,
204,"Stout, Harry S.","Culture, Structure, and the ""New"" History: A Critique and an Agenda",Computers and the Humanities,9,5,1975,213-230,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v9 n5 p213-230.pdf,CHUM-v9-n5-p213-230.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,A lengthy essay on 'New History' and modernization.,-,
205,"Widmann, R.L.",Trends in Computer Applications to Literature,Computers and the Humanities,9,5,1975,231-235,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v9 n5 p231-235.pdf,CHUM-v9-n5-p231-235.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,This article surveys the ways in which computers have been applied to literature research.,-,
206,"Saez-Godoy, Leopoldo",Situation and Prospects of Computer-Aided Literary Research in Spanish,Computers and the Humanities,9,5,1975,245-246,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v9 n5 p245-246.pdf,CHUM-v9-n5-p245-246.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,An overview of Spanish-language computer-aided research.,-,
207,"Clubb, Jerome M.","The ""New"" History as Applied Social Science: A Review Essay",Computers and the Humanities,9,5,1975,247-258,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v9 n5 p247-258.pdf,CHUM-v9-n5-p247-258.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"An essay reviewing 'Time on the Cross' and commenting on its approach to ""New"" History",-,
208,"Damerau, Fred J.",The Use of Function Word Frequencies as Indicators of Style,Computers and the Humanities,9,6,1975,271-280,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v9 n6 p271-280.pdf,CHUM-v9-n6-p271-280.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,Details the analysis of text for function words and style. ,-,
209,"Chisholm, David",Phonological Patterning in German Verse,Computers and the Humanities,10,1,1976,5-20,-,n/a,pdf,n/a,n/a,n/a,n/a,journal,Describe computer-assisted research,CHUM v10 n1 p5-20.pdf,CHUM-v10-n1-p5-20.txt,JWDTD-TA-Development-Corpus/CHum/CHum additional,"Computer-assisted analysis for alliteration, assonance, end-rhyme and other elements of verse.",-,
